Câu,134,Đáp án_134,210,Đáp án_210
Câu 1,C1.CLO1.3,C,C4.CLO3.2,D
Câu 2,C5.CLO3.2,A,C2.CLO2.2,A
Câu 3,C5.CLO3.3,D,C5.CLO2.1,D
Câu 4,C1.CLO1.1,C,C2.CLO2.3,D
Câu 5,C5.CLO2.1,D,C4.CLO3.3,B
Câu 6,C5.CLO3.2,B,C2.CLO2.1,B
Câu 7,C4.CLO3.2,A,C2.CLO2.1,B
Câu 8,C3.CLO3.3,A,C3.CLO2.1,B
Câu 9,C3.CLO3.2,B,C1.CLO1.1,C
Câu 10,C3.CLO2.1,D,C1.CLO1.3,A
Câu 11,C4.CLO3.3,D,C2.CLO2.2,A
Câu 12,C3.CLO3.3,C,C4.CLO2.1,C
Câu 13,C2.CLO2.3,D,C4.CLO3.3,D
Câu 14,C4.CLO2.1,C,C3.CLO3.3,C
Câu 15,C2.CLO2.2 ,D,C4.CLO2.1,C
Câu 16,C4.CLO2.1,C,C5.CLO3.2,A
Câu 17,C2.CLO2.2,A,C3.CLO3.2 ,D
Câu 18,C3.CLO3.2,D,C1.CLO1.2,C
Câu 19,C4.CLO3.2,B,C5.CLO3.2,D
Câu 20,C1.CLO1.2,A,C1.CLO1.3,C
Câu 21,C1.CLO1.3,C,C5.CLO3.3,D
Câu 22,C4.CLO3.3,B,C4.CLO3.2,D
Câu 23,C2.CLO2.1,B,C5.CLO2.1,D
Câu 24,C5.CLO2.1,D,C3.CLO2.1,A
Câu 25,C3.CLO2.1,A,C4.CLO3.2,B
Câu 26,C4.CLO3.2,B,C3.CLO3.2,A
Câu 27,C2.CLO2.1,A,C5.CLO3.3 ,C
Câu 28,C5.CLO3.3,C,C5.CLO3.2,B
Câu 29,C1.CLO1.1 ,B,C1.CLO1.1,B
Câu 30,C5.CLO3.2,B,C3.CLO3.3,A
